Time	ROI-2-_sig_410	ROI-2-_sig_470	Input_DIO-1-bpod
0:00:00:06.7281842	3.451283119	8.681037797	0
0:00:00:06.7615184	3.45213619	8.680162078	0
0:00:00:06.7948526	3.447455624	8.687303715	0
0:00:00:06.8281867	3.441318044	8.679324106	0
0:00:00:06.8615209	3.447440526	8.675572104	0
0:00:00:06.8948551	3.448052019	8.661696491	0
0:00:00:06.9281893	3.442669368	8.667003649	0
0:00:00:06.9615235	3.450543288	8.66947227	0
0:00:00:06.9948576	3.458311517	8.676704499	0
0:00:00:07.0281918	3.449433541	8.676757344	0
0:00:00:07.0615260	3.450060133	8.669562861	0
0:00:00:07.0948602	3.441484128	8.669728946	0
0:00:00:07.1281944	3.443394101	8.662421224	0
0:00:00:07.1615286	3.445643792	8.657491531	0
0:00:00:07.1948627	3.443311059	8.655913727	0
0:00:00:07.2281969	3.450120527	8.653875416	0
0:00:00:07.2615311	3.44965247	8.651852204	0
0:00:00:07.2948652	3.449478836	8.653112937	0
0:00:00:07.3281994	3.440147902	8.662292886	0
0:00:00:07.3615336	3.449071174	8.661968266	0
0:00:00:07.3948678	3.446353426	8.657461334	0
0:00:00:07.4282020	3.448927738	8.665788211	0
0:00:00:07.4615361	3.452543852	8.664602971	0
0:00:00:07.4948703	3.450883006	8.657370742	0
0:00:00:07.5282045	3.450377203	8.664338746	0
0:00:00:07.5615387	3.453230838	8.655506065	0
0:00:00:07.5948728	3.449705315	8.653180881	0
0:00:00:07.6282070	3.449403343	8.648107752	0
0:00:00:07.6615412	3.445439961	8.647790681	0
0:00:00:07.6948754	3.442193762	8.641577607	0
0:00:00:07.7282095	3.446398722	8.648538062	0
0:00:00:07.7615437	3.443899904	8.642219298	0
0:00:00:07.7948779	3.449259907	8.637115971	0
0:00:00:07.8282121	3.439113648	8.642113608	0
0:00:00:07.8615463	3.441061367	8.634375575	0
0:00:00:07.8948804	3.438328521	8.624395401	0
0:00:00:07.9282146	3.435044576	8.64284589	0
0:00:00:07.9615488	3.439762888	8.630291404	0
0:00:00:07.9948830	3.438653141	8.63001963	0
0:00:00:08.0282171	3.433044011	8.624704923	0
0:00:00:08.0615513	3.436252463	8.627769938	0
0:00:00:08.0948855	3.433104406	8.622877992	0
0:00:00:08.1282197	3.44060086	8.620401822	0
0:00:00:08.1615538	3.43531635	8.636021323	0
0:00:00:08.1948880	3.437143281	8.630283855	0
0:00:00:08.2282222	3.441295396	8.634186843	0
0:00:00:08.2615564	3.43596559	8.62861546	0
0:00:00:08.2948906	3.439460916	8.634790787	0
0:00:00:08.3282247	3.441197255	8.627483065	0
0:00:00:08.3615589	3.445923116	8.632193828	0
0:00:00:08.3948931	3.441974833	8.640316874	0
0:00:00:08.4282273	3.438592746	8.626939515	0
0:00:00:08.4615615	3.442608974	8.631642729	0
0:00:00:08.4948956	3.441967283	8.629309995	0
0:00:00:08.5282298	3.442352298	8.63239011	0
0:00:00:08.5615640	3.432039954	8.610202718	0
0:00:00:08.5948982	3.435052125	8.622455231	0
0:00:00:08.6282323	3.439619451	8.614090607	0
0:00:00:08.6615665	3.439000409	8.619933765	0
0:00:00:08.6949007	3.438713535	8.614687002	0
0:00:00:08.7282349	3.438426662	8.620394273	0
0:00:00:08.7615690	3.436856407	8.621119005	0
0:00:00:08.7949032	3.431186883	8.614800242	0
0:00:00:08.8282374	3.438577648	8.608692858	0
0:00:00:08.8615716	3.438086943	8.604540743	0
0:00:00:08.8949057	3.439657198	8.612580747	0
0:00:00:08.9282399	3.4342368	8.614075509	0
0:00:00:08.9615741	3.436048632	8.60392925	0
0:00:00:08.9949083	3.428152065	8.585214536	0
0:00:00:09.0282425	3.429367502	8.598946712	0
0:00:00:09.0615766	3.433217645	8.599354374	0
0:00:00:09.0949108	3.433746096	8.601815446	0
0:00:00:09.1282450	3.434485927	8.611138831	0
0:00:00:09.1615792	3.436863957	8.604586039	0
0:00:00:09.1949133	3.440027113	8.613750889	0
0:00:00:09.2282475	3.437452802	8.603853757	0
0:00:00:09.2615817	3.437347112	8.602479785	0
0:00:00:09.2949159	3.434146209	8.607182998	0
0:00:00:09.3282500	3.431617194	8.589932849	0
0:00:00:09.3615842	3.422633527	8.578367321	0
0:00:00:09.3949184	3.424603894	8.583010141	0
0:00:00:09.4282526	3.424022598	8.587819045	0
0:00:00:09.4615868	3.430620686	8.579069406	0
0:00:00:09.4949210	3.427608515	8.582700619	0
0:00:00:09.5282551	3.430998151	8.582451493	0
0:00:00:09.5615893	3.432508011	8.579914928	0
0:00:00:09.5949234	3.433655504	8.577250025	0
0:00:00:09.6282576	3.427895389	8.572335431	0
0:00:00:09.6615918	3.438962662	8.580458477	0
0:00:00:09.6949260	3.429843108	8.581560675	0
0:00:00:09.7282602	3.427850093	8.57439639	0
0:00:00:09.7615943	3.433761195	8.577869068	0
0:00:00:09.7949285	3.429963897	8.579212843	0
0:00:00:09.8282627	3.429986545	8.587509523	0
0:00:00:09.8615969	3.427850093	8.573649009	0
0:00:00:09.8949311	3.42594012	8.569995148	0
0:00:00:09.9282652	3.422542935	8.565684498	0
0:00:00:09.9615994	3.428016178	8.576706476	0
0:00:00:09.9949336	3.434742604	8.563865117	0
0:00:00:10.0282678	3.421516231	8.568817457	0
0:00:00:10.0616020	3.424286824	8.568175767	0
0:00:00:10.0949361	3.425917472	8.567624668	0
0:00:00:10.1282703	3.422769414	8.562891257	0
0:00:00:10.1616045	3.423607387	8.553779253	0
0:00:00:10.1949386	3.426076008	8.560905791	0
0:00:00:10.2282728	3.424249077	8.563948159	0
0:00:00:10.2616070	3.428454037	8.562559088	0
0:00:00:10.2949412	3.429239164	8.569617683	0
0:00:00:10.3282754	3.422467442	8.572493966	0
0:00:00:10.3616095	3.425879726	8.55337159	0
0:00:00:10.3949437	3.426981924	8.552828041	0
0:00:00:10.4282779	3.427298994	8.557870973	0
0:00:00:10.4616121	3.42378857	8.55251097	0
0:00:00:10.4949463	3.420278145	8.553318745	0
0:00:00:10.5282804	3.421229357	8.55423976	0
0:00:00:10.5616146	3.420149807	8.539390287	0
0:00:00:10.5949488	3.415310706	8.55369621	0
0:00:00:10.6282830	3.418949469	8.545391981	0
0:00:00:10.6616171	3.412396677	8.540998288	0
0:00:00:10.6949513	3.42249009	8.561079425	0
0:00:00:10.7282855	3.417522651	8.551559758	0
0:00:00:10.7616197	3.421402991	8.552707252	0
0:00:00:10.7949538	3.41785482	8.540605725	0
0:00:00:10.8282880	3.417077242	8.543580149	0
0:00:00:10.8616222	3.415967495	8.544689896	0
0:00:00:10.8949564	3.416956454	8.547951193	0
0:00:00:10.9282906	3.420157357	8.545860037	0
0:00:00:10.9616247	3.416956454	8.553575421	0
0:00:00:10.9949589	3.423539443	8.553069618	0
0:00:00:11.0282931	3.425336176	8.560286749	0
0:00:00:11.0616273	3.418775835	8.556542296	0
0:00:00:11.0949615	3.416533693	8.544372825	0
0:00:00:11.1282956	3.420414033	8.53623468	0
0:00:00:11.1616298	3.412479719	8.549551645	0
0:00:00:11.1949640	3.416850763	8.5424855	0
0:00:00:11.2282982	3.420806596	8.556383761	0
0:00:00:11.2616323	3.420180005	8.537321779	0
0:00:00:11.2949665	3.409746872	8.54431998	0
0:00:00:11.3283007	3.414616171	8.536710286	0
0:00:00:11.3616349	3.419379779	8.537721892	0
0:00:00:11.3949690	3.41667713	8.534045383	0
0:00:00:11.4283032	3.418028454	8.534921102	0
0:00:00:11.4616374	3.41440479	8.543791529	0
0:00:00:11.4949716	3.416201524	8.53278465	0
0:00:00:11.5283057	3.414216058	8.541247415	0
0:00:00:11.5616399	3.418383271	8.539730006	0
0:00:00:11.5949741	3.410358366	8.545391981	0
0:00:00:11.6283083	3.406115659	8.523287631	0
0:00:00:11.6616424	3.417273524	8.527794563	0
0:00:00:11.6949766	3.41031307	8.529825325	0
0:00:00:11.7283108	3.404643546	8.529817775	0
0:00:00:11.7616450	3.419787441	8.526715013	0
0:00:00:11.7949792	3.410086591	8.53052741	0
0:00:00:11.8283133	3.412238141	8.528474	0
0:00:00:11.8616475	3.416473298	8.529425212	0
0:00:00:11.8949817	3.409527943	8.531946678	0
0:00:00:11.9283159	3.412517465	8.522864871	0
0:00:00:11.9616500	3.413249747	8.526473436	0
0:00:00:11.9949842	3.416631834	8.535223074	0
0:00:00:12.0283184	3.410607493	8.535842117	0
