Time,ROI-1-_sig_410,ROI-1-_sig_470,ROI-2-_sig_410,ROI-2-_sig_470,Input_DIO-1-bpod,
0:00:00:04.9314030,1.1877289039447976,3.0781251283198214,2.176425339620579,5.268958190515919,0,
0:00:00:04.9647372,1.185373244568888,3.089413230184728,2.1804264684296073,5.277141631325328,0,
0:00:00:04.9980714,1.1892539551014558,3.1229507391030222,2.1745455640102995,5.281271098228231,0,
0:00:00:05.0314056,1.1870616940637597,3.1531794316724957,2.16682263047891,5.286223438791859,0,
0:00:00:05.0647398,1.1879467683957488,3.1557801885557253,2.1733452253675907,5.274469179252883,0,
0:00:00:05.0980739,1.1831265174184542,3.160464274251175,2.1736471973531777,5.278228730473441,0,
0:00:00:05.1314081,1.183657562017648,3.1598651470110592,2.178154129238065,5.277420955411997,0,
0:00:00:05.1647423,1.186585115577304,3.1578771338961302,2.1753080432739065,5.282811155354725,0,
0:00:00:05.1980765,1.1819963455791453,3.161989325407833,2.173881225642008,5.27221193866062,0,
0:00:00:05.2314106,1.18840973035402,3.165475156623052,2.1749985219886803,5.278228730473441,0,
0:00:00:05.2647448,1.182718021572921,3.1691243861764837,2.175987480241478,5.278100392379567,0,
0:00:00:05.2980790,1.182078044748252,3.1753879891413295,2.174900381093364,5.275586475599555,0,
0:00:00:05.3314132,1.1851145305333837,3.1760688155505523,2.179973510451227,5.27898366043741,0,
0:00:00:05.3647473,1.178946243265829,3.1685797250491055,2.175911987245081,5.273495319599364,0,
0:00:00:05.3980815,1.182595472819261,3.1812022466760883,2.174575761208858,5.268663767829972,0,
0:00:00:05.4314157,1.1856183420762083,3.1742850503583893,2.173247084472275,5.278893068841733,0,
0:00:00:05.4647499,1.1868574461409929,3.1827545308891154,2.1794979045739273,5.283890705203199,0,
0:00:00:05.4980841,1.1826635554601832,3.1946826095786913,2.170068829323971,5.27571481369343,0,
0:00:00:05.5314182,1.1806074597043317,3.1926128972946555,2.17312629567804,5.274144559368376,0,
0:00:00:05.5647524,1.1800491820487693,3.1959761797562143,2.1738736763423683,5.2706794308337654,0,
0:00:00:05.5980866,1.1805393770634094,3.19446474512774,2.1765083819166153,5.269947148768717,0,
0:00:00:05.6314208,1.1806074597043317,3.1933754228729847,2.176251705728866,5.269584782386012,0,
0:00:00:05.6647550,1.1808389406834672,3.2001700704370237,2.1758515928479634,5.276454645058118,0,
0:00:00:05.6980891,1.1812882861135539,3.1968884871445717,2.177082128689231,5.279647998805701,0,
0:00:00:05.7314233,1.1813291356981073,3.2108454285336308,2.174432324515704,5.2787345335493,0,
0:00:00:05.7647575,1.182813337270212,3.207209815508383,2.1709369987825338,5.274038869173421,0,
0:00:00:05.7980916,1.1783471160257133,3.2090208137569145,2.1735566057575015,5.281172957332916,0,
0:00:00:05.8314258,1.1759233740088817,3.2058617792181225,2.1708539564864973,5.278289124870559,0,
0:00:00:05.8647600,1.1791641077167803,3.200932596015353,2.1767273116061663,5.262760215511744,0,
0:00:00:05.8980942,1.1818601802973008,3.212302397049366,2.1758666914472427,5.279557407210025,0,
0:00:00:05.9314283,1.1806346927607005,3.2190698115570364,2.1711030833746072,5.272400671151612,0,
0:00:00:05.9647625,1.1817648646000096,3.211961983844755,2.1712540693674005,5.270535994140611,0,
0:00:00:05.9980967,1.1814380679235827,3.2169728662166324,2.175209902378591,5.27686230723866,0,
0:00:00:06.0314309,1.173840045196661,3.213350869719569,2.1745153668117405,5.27383503808315,0,
0:00:00:06.0647651,1.182595472819261,3.2215888692711596,2.174319085021109,5.284147381390948,0,
0:00:00:06.0980992,1.1788100779839845,3.203247405806709,2.1755496208623764,5.275193912018292,0,
0:00:00:06.1314334,1.176481651664444,3.196371059073563,2.172831872992093,5.272257234458458,0,
0:00:00:06.1647676,1.177366725996433,3.2025529628693024,2.166943419273145,5.2679088378660035,0,
0:00:00:06.1981018,1.1748340517541258,3.1987267184494725,2.1639387980165536,5.2722421358591784,0,
0:00:00:06.2314360,1.1743438567394857,3.1853689043005295,2.166890574175667,5.2679088378660035,0,
0:00:00:06.2647701,1.1804440613661182,3.186512692668023,2.1682268002118903,5.270860614025118,0,
0:00:00:06.2981043,1.1790279424349357,3.1882283752192633,2.1710879847753275,5.271479656595571,0,
0:00:00:06.3314385,1.1786194465894022,3.1942604972049735,2.1739642679380444,5.284419156177977,0,
0:00:00:06.3647726,1.1798177010696336,3.1931575584220333,2.172801675793534,5.27312540391702,0,
0:00:00:06.3981068,1.1758144417834062,3.1905159519542505,2.170846407186858,5.269916951570158,0,
0:00:00:06.4314410,1.1765633508335507,3.1772126039180457,2.1683551383057647,5.272989516523506,0,
0:00:00:06.4647752,1.1769718466790842,3.1903661701442214,2.168106011417655,5.273872784581348,0,
0:00:00:06.4981094,1.175991456649804,3.189399396643126,2.170484040804153,5.274635263844956,0,
0:00:00:06.5314435,1.17806116893384,3.17241958599712,2.1685891665945944,5.274250249563332,0,
0:00:00:06.5647777,1.1748340517541258,3.1720383232079556,2.16892888507838,5.2679918801620405,0,
0:00:00:06.5981119,1.1768084483408707,3.1755513874795427,2.1678266873309875,5.262239313836607,0,
0:00:00:06.6314461,1.1763182533262306,3.1825911325509018,2.170612378898028,5.265289230891036,0,
0:00:00:06.6647802,1.1776254400319377,3.1884598561983992,2.167147250363416,5.272076051267105,0,
0:00:00:06.6981144,1.1783334994975287,3.193212024534771,2.169955589829376,5.267923936465284,0,
0:00:00:06.7314486,1.1728051890546431,3.1868122562880807,2.1666716444861165,5.259400777172088,0,
0:00:00:06.7647828,1.1737447294993701,3.184265965517589,2.1706954211940643,5.265508160580587,0,
0:00:00:06.7981169,1.1872523254583418,3.1825366664381645,2.1693818430567604,5.267448330587984,0,
0:00:00:06.8314511,1.191459832667336,3.245022914276594,2.169608322045951,5.270588839238089,0,
0:00:00:06.8647853,1.1799674828796627,3.2425174730906554,2.1680531663201776,5.263228272089404,0,
0:00:00:06.8981195,1.185795356942606,3.2403796781656973,2.1649353055689913,5.264632441822385,0,
0:00:00:06.9314536,1.1958988208554662,3.2909923134272883,2.1691855612661293,5.254742859294407,0,
0:00:00:06.9647878,1.1966204968492418,3.286743956633741,2.1667395881828737,5.252070407221963,0,
0:00:00:06.9981220,1.1888726923122912,3.270404122812404,2.1635764316338495,5.257641790356043,0,
0:00:00:07.0314562,1.1885186625794957,3.254758731928473,2.168294743908647,5.249246969156723,0,
0:00:00:07.0647904,1.1985540438514333,3.274489081267738,2.1679097296270236,5.246151756304456,0,
0:00:00:07.0981245,1.1869936114228374,3.2581900970309543,2.173503760660024,5.25095311087529,0,
0:00:00:07.1314587,1.184855816497879,3.249502752049277,2.1703481534106395,5.2447173893729175,0,
0:00:00:07.1647929,1.1843792380114235,3.2301672820273617,2.170514238002712,5.2412598101379455,0,
0:00:00:07.1981271,1.186190236259955,3.22749844250321,2.1672604898580112,5.236609441559905,0,
0:00:00:07.2314613,1.185672808188946,3.225782759951969,2.1730432533820037,5.242211021892544,0,
0:00:00:07.2647954,1.1784832813075576,3.211921134260202,2.1718353654396556,5.23742476592099,0,
0:00:00:07.2981296,1.1830312017211633,3.196289359904456,2.168113560717295,5.238625104563698,0,
0:00:00:07.3314638,1.18335799839759,3.1919456874136176,2.16869485678955,5.232472425357361,0,
0:00:00:07.3647979,1.1804576778943028,3.184061717594822,2.164119981207906,5.234103074079532,0,
0:00:00:07.3981321,1.1797496184287115,3.174788861901214,2.1596885423194156,5.226802901327964,0,
0:00:00:07.4314663,1.1810840381907872,3.174067185907438,2.162995135561594,5.221171123796766,0,
0:00:00:07.4648005,1.1827044050447366,3.170935384425015,2.1634254456410558,5.225126956807957,0,
0:00:00:07.4981347,1.1816014662617962,3.1602872593847775,2.165758179229716,5.2233226741940735,0,
0:00:00:07.5314688,1.1801717308024293,3.1597017486728465,2.1599225706082454,5.221941152360013,0,
0:00:00:07.5648030,1.1805529935915937,3.1605187403639126,2.1629120932655574,5.229120536317345,0,
0:00:00:07.5981372,1.1714980023489363,3.1496391343445396,2.1627309100742056,5.226976535219677,0,
0:00:00:07.6314714,1.1786466796457713,3.1462486188266117,2.161409782637262,5.2350542858341305,0,
0:00:00:07.6648055,1.1747932021695724,3.1519811771922646,2.1623609943918614,5.235831863697018,0,
0:00:00:07.6981397,1.181683165430903,3.1559844364784917,2.169215758464688,5.240263302585507,0,
0:00:00:07.7314739,1.1774892747500931,3.1507829227120334,2.1671698982623355,5.2334311864116,0,
0:00:00:07.7648080,1.1782654168566065,3.1562703835703654,2.1661054470131407,5.234186116375568,0,
0:00:00:07.7981422,1.1807844745707294,3.155739338971172,2.1620288252077153,5.235024088635572,0,
0:00:00:07.8314764,1.1727643394700897,3.1574686380505965,2.16076054286825,5.231838284187629,0,
0:00:00:07.8648106,1.1793275060549935,3.158190314044372,2.161523022131857,5.225662957082373,0,
0:00:00:07.8981448,1.1805938431761471,3.1716162108342374,2.1596658944204967,5.2407615563617265,0,
0:00:00:07.9314789,1.1757735921988528,3.1616080626186687,2.1610247683556385,5.227535183393013,0,
0:00:00:07.9648131,1.1803895952533805,3.18374853744658,2.1644747982909704,5.238647752462617,0,
0:00:00:07.9981473,1.1796543027314204,3.1790236021665774,2.160375528586626,5.2429282053583135,0,
0:00:00:08.0314815,1.1814789175081362,3.184647228306754,2.1641803756050235,5.232472425357361,0,
0:00:00:08.0648157,1.1746161873031746,3.185151039849578,2.1598772748104076,5.230298227061135,0,
0:00:00:08.0981498,1.1749157509232326,3.1917142064344817,2.1632216145507845,5.2329253833357425,0,
0:00:00:08.1314840,1.1750927657896304,3.2039554652723004,2.165471305843408,5.2343446516680014,0,
0:00:00:08.1648182,1.1743030071549325,3.214140628354267,2.164890009771153,5.237938118296488,0,
0:00:00:08.1981523,1.1770807789045596,3.214331259748849,2.1584278092795897,5.2390327667442405,0,
0:00:00:08.2314865,1.1768901475099773,3.2165916034274673,2.1616060644278936,5.237560653314504,0,
0:00:00:08.2648207,1.1729005047519343,3.200878129902615,2.1590091053518448,5.2333632427148435,0,
0:00:00:08.2981549,1.1763999524953375,3.209769722807059,2.164565389886647,5.237122793935402,0,
0:00:00:08.3314890,1.1723830766809253,3.200115604324286,2.162043923806995,5.236526399263868,0,
0:00:00:08.3648232,1.1722060618145276,3.203424420673107,2.1568726535538163,5.227255859306345,0,
0:00:00:08.3981574,1.1719064981944698,3.1979914259275124,2.1616287123268125,5.228131578064548,0,
0:00:00:08.4314916,1.1719337312508387,3.201518106727284,2.1581560344925617,5.228599634642207,0,
0:00:00:08.4648258,1.1757872087270371,3.2148623043480424,2.1579446541026504,5.230796480837354,0,
0:00:00:08.4981599,1.1771080119609285,3.2151891010244693,2.1632442624497035,5.228222169660223,0,
0:00:00:08.5314941,1.1773258764118797,3.223004988202342,2.1639991924136712,5.227716366584366,0,
0:00:00:08.5648283,1.1758825244243283,3.225442346747358,2.160617106175096,5.221895856562175,0,
0:00:00:08.5981625,1.1782790333847912,3.2258508425928913,2.157929555503371,5.2269689859200374,0,
0:00:00:08.6314967,1.1787964614558002,3.224815986450874,2.1630328820597926,5.226017774165438,0,
0:00:00:08.6648308,1.1807436249861762,3.237547440303332,2.16658860219008,5.237983414094326,0,
0:00:00:08.6981650,1.1816150827899807,3.231242987753933,2.157068935344448,5.227240760707066,0,
0:00:00:08.7314992,1.1797904680132647,3.2369483130632166,2.161598515128254,5.2396367107154145,0,
0:00:00:08.7648333,1.1775709739191997,3.226953781375832,2.1638633050201572,5.230841776635192,0,
0:00:00:08.7981675,1.1800900316333227,3.2218884328912174,2.1609492753592416,5.231936425082945,0,
0:00:00:08.8315017,1.1765361177771818,3.235641126357509,2.1599225706082454,5.225791295176248,0,
